[Thu Feb 16 11:33:17.854 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:42:57.287 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:42:57.290 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:42:57.294 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:43:24.844 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:43:24.848 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:43:24.851 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:43:54.455 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:43:54.459 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:43:54.463 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:44:06.121 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:44:06.126 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:44:06.129 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:44:18.853 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:44:18.858 2012] 0.001 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:44:18.862 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:45:50.135 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:45:50.139 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 11:45:50.143 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
